Company Name,Location,Datum,Status Mission
CASC,"LC-2, Xichang Satellite Launch Center, China","Fri May 17, 2019 15:48 UTC",Success
Rocket Lab,"Rocket Lab LC-1A, M?hia Peninsula, New Zealand","Sun May 05, 2019 06:00 UTC",Success
SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA","Sat May 04, 2019 06:48 UTC",Success
Blue Origin,"Blue Origin Launch Site, West Texas, Texas, USA","Thu May 02, 2019 13:35 UTC",Success
CASC,"Taiyuan Satellite Launch Center, China","Mon Apr 29, 2019 22:52 UTC",Success
CASC,"LC-3, Xichang Satellite Launch Center, China","Sat Apr 20, 2019 14:30 UTC",Success
Northrop,"LP-0A, Wallops Flight Facility, Virginia, USA","Wed Apr 17, 2019 20:46 UTC",Success
SpaceX,"LC-39A, Kennedy Space Center, Florida, USA","Thu Apr 11, 2019 22:35 UTC",Success
Arianespace,"ELS, Guiana Space Centre, French Guiana, France","Thu Apr 04, 2019 17:04 UTC",Success
Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan","Thu Apr 04, 2019 11:01 UTC",Success
ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India","Mon Apr 01, 2019 03:57 UTC",Success
CASC,"LC-2, Xichang Satellite Launch Center, China","Sun Mar 31, 2019 15:51 UTC",Success
Rocket Lab,"Rocket Lab LC-1A, M?hia Peninsula, New Zealand","Thu Mar 28, 2019 23:27 UTC",Success
OneSpace,"Site 95, Jiuquan Satellite Launch Center, China","Wed Mar 27, 2019 09:39 UTC",Failure
Arianespace,"ELV-1 (SLV), Guiana Space Centre, French Guiana, France","Fri Mar 22, 2019 01:50 UTC",Success
ULA,"SLC-37B, Cape Canaveral AFS, Florida, USA","Sat Mar 16, 2019 00:26 UTC",Success
Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","Thu Mar 14, 2019 19:14 UTC",Success
CASC,"LC-3, Xichang Satellite Launch Center, China","Sat Mar 09, 2019 16:28 UTC",Success
Exos,"Vertical Launch Area, Spaceport America, New Mexico","Sat Mar 02, 2019 17:45 UTC",Partial Failure
SpaceX,"LC-39A, Kennedy Space Center, Florida, USA","Sat Mar 02, 2019 07:49 UTC",Success
Arianespace,"ELS, Guiana Space Centre, French Guiana, France","Wed Feb 27, 2019 21:37 UTC",Success
SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA","Fri Feb 22, 2019 01:45 UTC",Success
VKS RF,"Site 31/6, Baikonur Cosmodrome, Kazakhstan","Thu Feb 21, 2019 16:47 UTC",Success
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France","Tue Feb 05, 2019 21:01 UTC",Success
ISA,"Imam Khomeini Spaceport, Semnan Space Center, Iran","Tue Feb 05, 2019",Failure
ISRO,"First Launch Pad, Satish Dhawan Space Centre, India","Thu Jan 24, 2019 18:07 UTC",Success
Blue Origin,"Blue Origin Launch Site, West Texas, Texas, USA","Wed Jan 23, 2019 15:05 UTC",Success
CASC,"Site 95, Jiuquan Satellite Launch Center, China","Mon Jan 21, 2019 05:42 UTC",Success
ULA,"SLC-6, Vandenberg AFB, California, USA","Sat Jan 19, 2019 19:10 UTC",Success
JAXA,"Mu Pad, Uchinoura Space Center, Japan","Fri Jan 18, 2019 00:50 UTC",Success
